Key,repo,Path extension,Priority,Group,Repo Name,size,size_gb,folder,In Glacier,Size in Glacier,STATUS,Notes
0023_lewis_e_m_009_025,0023,,1,A,"Free Library of Philadelphia, Special Collections","30,093",0.029,lewis_e_m_009_025,0023_lewis_e_m_009_025,0.029,Fall 2019 batch,
0023_lewis_e_m_045_004,0023,,1,A,"Free Library of Philadelphia, Special Collections","30,266",0.029,lewis_e_m_045_004,0023_lewis_e_m_045_004,0.029,Fall 2019 batch,
0023_lewis_e_m_009_021,0023,,1,A,"Free Library of Philadelphia, Special Collections","30,285",0.029,lewis_e_m_009_021,0023_lewis_e_m_009_021,0.029,Fall 2019 batch,
0023_lewis_e_m_019_015,0023,,1,A,"Free Library of Philadelphia, Special Collections","30,349",0.029,lewis_e_m_019_015,0023_lewis_e_m_019_015,0.029,Fall 2019 batch,
0023_lewis_e_m_032_007,0023,,1,A,"Free Library of Philadelphia, Special Collections","30,358",0.029,lewis_e_m_032_007,0023_lewis_e_m_032_007,0.029,Fall 2019 batch,
0023_lewis_e_m_009_020,0023,,1,A,"Free Library of Philadelphia, Special Collections","30,659",0.029,lewis_e_m_009_020,0023_lewis_e_m_009_020,0.029,Fall 2019 batch,
0023_lewis_e_m_019_012,0023,,1,A,"Free Library of Philadelphia, Special Collections","30,705",0.029,lewis_e_m_019_012,0023_lewis_e_m_019_012,0.029,Fall 2019 batch,
0023_lewis_e_m_012_013,0023,,1,A,"Free Library of Philadelphia, Special Collections","31,116",0.03,lewis_e_m_012_013,0023_lewis_e_m_012_013,0.03,Fall 2019 batch,
0023_lewis_e_m_033_019,0023,,1,A,"Free Library of Philadelphia, Special Collections","31,345",0.03,lewis_e_m_033_019,0023_lewis_e_m_033_019,0.03,Fall 2019 batch,
0023_lewis_e_m_003_005,0023,,1,A,"Free Library of Philadelphia, Special Collections","31,497",0.03,lewis_e_m_003_005,0023_lewis_e_m_003_005,0.03,Fall 2019 batch,
0023_lewis_e_m_003_018,0023,,1,A,"Free Library of Philadelphia, Special Collections","31,643",0.03,lewis_e_m_003_018,0023_lewis_e_m_003_018,0.03,Fall 2019 batch,
0023_lewis_e_m_012_012,0023,,1,A,"Free Library of Philadelphia, Special Collections","31,720",0.03,lewis_e_m_012_012,0023_lewis_e_m_012_012,0.03,Fall 2019 batch,
0023_lewis_e_m_013_016,0023,,1,A,"Free Library of Philadelphia, Special Collections","31,775",0.03,lewis_e_m_013_016,0023_lewis_e_m_013_016,0.03,Fall 2019 batch,
0023_lewis_e_m_011_025,0023,,1,A,"Free Library of Philadelphia, Special Collections","31,839",0.03,lewis_e_m_011_025,0023_lewis_e_m_011_025,0.03,Fall 2019 batch,
0023_lewis_e_m_003_028,0023,,1,A,"Free Library of Philadelphia, Special Collections","31,853",0.03,lewis_e_m_003_028,0023_lewis_e_m_003_028,0.03,Fall 2019 batch,
0023_lewis_e_m_003_015,0023,,1,A,"Free Library of Philadelphia, Special Collections","31,926",0.03,lewis_e_m_003_015,0023_lewis_e_m_003_015,0.03,Fall 2019 batch,
0023_lewis_e_m_011_014,0023,,1,A,"Free Library of Philadelphia, Special Collections","31,948",0.03,lewis_e_m_011_014,0023_lewis_e_m_011_014,0.03,Fall 2019 batch,
0023_lewis_t234,0023,,1,A,"Free Library of Philadelphia, Special Collections","31,990",0.031,lewis_t234,0023_lewis_t234,0.031,Fall 2019 batch,
0023_lewis_e_m_003_027,0023,,1,A,"Free Library of Philadelphia, Special Collections","32,055",0.031,lewis_e_m_003_027,0023_lewis_e_m_003_027,0.031,Fall 2019 batch,
0023_lewis_e_m_003_010,0023,,1,A,"Free Library of Philadelphia, Special Collections","32,155",0.031,lewis_e_m_003_010,0023_lewis_e_m_003_010,0.031,Fall 2019 batch,
0023_lewis_e_m_032_009,0023,,1,A,"Free Library of Philadelphia, Special Collections","32,159",0.031,lewis_e_m_032_009,0023_lewis_e_m_032_009,0.031,Fall 2019 batch,
0023_lewis_e_m_003_011,0023,,1,A,"Free Library of Philadelphia, Special Collections","32,173",0.031,lewis_e_m_003_011,0023_lewis_e_m_003_011,0.031,Fall 2019 batch,
0023_lewis_e_m_003_026,0023,,1,A,"Free Library of Philadelphia, Special Collections","32,182",0.031,lewis_e_m_003_026,0023_lewis_e_m_003_026,0.031,Fall 2019 batch,
0023_lewis_e_m_019_017,0023,,1,A,"Free Library of Philadelphia, Special Collections","32,232",0.031,lewis_e_m_019_017,0023_lewis_e_m_019_017,0.031,Fall 2019 batch,
0023_lewis_e_m_009_026,0023,,1,A,"Free Library of Philadelphia, Special Collections","32,295",0.031,lewis_e_m_009_026,0023_lewis_e_m_009_026,0.031,Fall 2019 batch,
0023_lewis_e_m_009_022,0023,,1,A,"Free Library of Philadelphia, Special Collections","32,341",0.031,lewis_e_m_009_022,0023_lewis_e_m_009_022,0.031,Fall 2019 batch,
0023_lewis_e_m_003_025,0023,,1,A,"Free Library of Philadelphia, Special Collections","32,356",0.031,lewis_e_m_003_025,0023_lewis_e_m_003_025,0.031,Fall 2019 batch,
0023_lewis_t215,0023,,1,A,"Free Library of Philadelphia, Special Collections","32,402",0.031,lewis_t215,0023_lewis_t215,0.031,Fall 2019 batch,
0023_lewis_e_m_019_018,0023,,1,A,"Free Library of Philadelphia, Special Collections","32,515",0.031,lewis_e_m_019_018,0023_lewis_e_m_019_018,0.031,Fall 2019 batch,
0023_lewis_e_m_003_006,0023,,1,A,"Free Library of Philadelphia, Special Collections","32,557",0.031,lewis_e_m_003_006,0023_lewis_e_m_003_006,0.031,Fall 2019 batch,
0023_lewis_e_m_011_026,0023,,1,A,"Free Library of Philadelphia, Special Collections","32,670",0.031,lewis_e_m_011_026,0023_lewis_e_m_011_026,0.031,Fall 2019 batch,
0023_lewis_e_m_010_010,0023,,1,A,"Free Library of Philadelphia, Special Collections","32,679",0.031,lewis_e_m_010_010,0023_lewis_e_m_010_010,0.031,Fall 2019 batch,
