Key,repo,Path extension,Priority,Group,Repo Name,size,size_gb,folder,STATUS,Notes
0023_lewis_e_m_009_017a,0023,,1,A,"Free Library of Philadelphia, Special Collections","36,646",0.035,lewis_e_m_009_017a,,
0023_lewis_e_m_013_007,0023,,1,A,"Free Library of Philadelphia, Special Collections","36,683",0.035,lewis_e_m_013_007,,
0023_lewis_e_m_016_012,0023,,1,A,"Free Library of Philadelphia, Special Collections","36,738",0.035,lewis_e_m_016_012,,
0023_lewis_e_m_033_009,0023,,1,A,"Free Library of Philadelphia, Special Collections","36,747",0.035,lewis_e_m_033_009,,
0023_lewis_e_m_013_017,0023,,1,A,"Free Library of Philadelphia, Special Collections","36,774",0.035,lewis_e_m_013_017,,
0023_lewis_e_m_029_018,0023,,1,A,"Free Library of Philadelphia, Special Collections","36,802",0.035,lewis_e_m_029_018,,
0023_lewis_e_m_077_004,0023,,1,A,"Free Library of Philadelphia, Special Collections","36,936",0.035,lewis_e_m_077_004,,
0023_lewis_t256,0023,,1,A,"Free Library of Philadelphia, Special Collections","36,972",0.035,lewis_t256,,
0023_lewis_e_m_009_017,0023,,1,A,"Free Library of Philadelphia, Special Collections","36,975",0.035,lewis_e_m_009_017,,
0023_lewis_t166,0023,,1,A,"Free Library of Philadelphia, Special Collections","36,994",0.035,lewis_t166,,
0023_lewis_e_m_077_006,0023,,1,A,"Free Library of Philadelphia, Special Collections","37,008",0.035,lewis_e_m_077_006,,
0023_lewis_e_m_077_005,0023,,1,A,"Free Library of Philadelphia, Special Collections","37,127",0.035,lewis_e_m_077_005,,
0023_lewis_e_m_077_001,0023,,1,A,"Free Library of Philadelphia, Special Collections","37,173",0.035,lewis_e_m_077_001,,
0023_lewis_e_m_077_008,0023,,1,A,"Free Library of Philadelphia, Special Collections","37,201",0.035,lewis_e_m_077_008,,
0023_lewis_e_m_012_022,0023,,1,A,"Free Library of Philadelphia, Special Collections","37,423",0.036,lewis_e_m_012_022,,
0023_lewis_e_m_033_014,0023,,1,A,"Free Library of Philadelphia, Special Collections","37,652",0.036,lewis_e_m_033_014,,
0023_lewis_e_m_016_007,0023,,1,A,"Free Library of Philadelphia, Special Collections","37,734",0.036,lewis_e_m_016_007,,
0023_lewis_e_m_077_010,0023,,1,A,"Free Library of Philadelphia, Special Collections","37,740",0.036,lewis_e_m_077_010,,
0023_lewis_e_m_013_011,0023,,1,A,"Free Library of Philadelphia, Special Collections","37,871",0.036,lewis_e_m_013_011,,
0023_lewis_e_m_013_001,0023,,1,A,"Free Library of Philadelphia, Special Collections","37,926",0.036,lewis_e_m_013_001,,
0023_lewis_e_m_019_025,0023,,1,A,"Free Library of Philadelphia, Special Collections","38,008",0.036,lewis_e_m_019_025,,
0023_lewis_e_m_020_014,0023,,1,A,"Free Library of Philadelphia, Special Collections","38,063",0.036,lewis_e_m_020_014,,
0023_lewis_e_m_013_004,0023,,1,A,"Free Library of Philadelphia, Special Collections","38,100",0.036,lewis_e_m_013_004,,
0023_lewis_e_m_025_027,0023,,1,A,"Free Library of Philadelphia, Special Collections","38,255",0.036,lewis_e_m_025_027,,
0023_lewis_e_m_017_008,0023,,1,A,"Free Library of Philadelphia, Special Collections","38,510",0.037,lewis_e_m_017_008,,
0023_lewis_e_m_020_009,0023,,1,A,"Free Library of Philadelphia, Special Collections","38,521",0.037,lewis_e_m_020_009,,
0023_lewis_e_m_012_014,0023,,1,A,"Free Library of Philadelphia, Special Collections","38,557",0.037,lewis_e_m_012_014,,
0023_lewis_e_m_025_019,0023,,1,A,"Free Library of Philadelphia, Special Collections","38,684",0.037,lewis_e_m_025_019,,
0023_lewis_t571,0023,,1,A,"Free Library of Philadelphia, Special Collections","38,703",0.037,lewis_t571,,
0023_lewis_e_m_032_026,0023,,1,A,"Free Library of Philadelphia, Special Collections","38,711",0.037,lewis_e_m_032_026,,
0023_lewis_e_m_016_005,0023,,1,A,"Free Library of Philadelphia, Special Collections","38,840",0.037,lewis_e_m_016_005,,
0023_lewis_e_m_028_008,0023,,1,A,"Free Library of Philadelphia, Special Collections","38,932",0.037,lewis_e_m_028_008,,
0023_lewis_e_m_027_025,0023,,1,A,"Free Library of Philadelphia, Special Collections","39,010",0.037,lewis_e_m_027_025,,
0023_lewis_e_m_032_029,0023,,1,A,"Free Library of Philadelphia, Special Collections","39,032",0.037,lewis_e_m_032_029,,
0023_lewis_e_m_012_017,0023,,1,A,"Free Library of Philadelphia, Special Collections","39,041",0.037,lewis_e_m_012_017,,
0023_lewis_e_m_013_018,0023,,1,A,"Free Library of Philadelphia, Special Collections","39,078",0.037,lewis_e_m_013_018,,
0023_lewis_e_m_016_018,0023,,1,A,"Free Library of Philadelphia, Special Collections","39,132",0.037,lewis_e_m_016_018,,
0023_lewis_e_m_028_016,0023,,1,A,"Free Library of Philadelphia, Special Collections","39,178",0.037,lewis_e_m_028_016,,
0023_lewis_e_m_012_008,0023,,1,A,"Free Library of Philadelphia, Special Collections","39,342",0.038,lewis_e_m_012_008,,
0023_lewis_e_m_013_008,0023,,1,A,"Free Library of Philadelphia, Special Collections","39,398",0.038,lewis_e_m_013_008,,
0023_lewis_t240,0023,,1,A,"Free Library of Philadelphia, Special Collections","39,494",0.038,lewis_t240,,
0023_lewis_e_m_020_001,0023,,1,A,"Free Library of Philadelphia, Special Collections","39,544",0.038,lewis_e_m_020_001,,
0023_lewis_e_m_026_007,0023,,1,A,"Free Library of Philadelphia, Special Collections","39,662",0.038,lewis_e_m_026_007,,
0023_lewis_e_m_025_032,0023,,1,A,"Free Library of Philadelphia, Special Collections","39,699",0.038,lewis_e_m_025_032,,
0023_lewis_e_m_020_011,0023,,1,A,"Free Library of Philadelphia, Special Collections","39,736",0.038,lewis_e_m_020_011,,
0023_lewis_e_m_048_008,0023,,1,A,"Free Library of Philadelphia, Special Collections","39,745",0.038,lewis_e_m_048_008,,
0023_lewis_e_m_012_009,0023,,1,A,"Free Library of Philadelphia, Special Collections","39,772",0.038,lewis_e_m_012_009,,
0023_lewis_e_m_012_018,0023,,1,A,"Free Library of Philadelphia, Special Collections","39,818",0.038,lewis_e_m_012_018,,
0023_lewis_t118,0023,,1,A,"Free Library of Philadelphia, Special Collections","39,873",0.038,lewis_t118,,
0023_lewis_e_m_043_001f,0023,,1,A,"Free Library of Philadelphia, Special Collections","39,910",0.038,lewis_e_m_043_001f,,
0023_lewis_e_m_001_013,0023,,1,A,"Free Library of Philadelphia, Special Collections","39,925",0.038,lewis_e_m_001_013,,
0023_lewis_e_m_012_025,0023,,1,A,"Free Library of Philadelphia, Special Collections","39,955",0.038,lewis_e_m_012_025,,
0023_html,0023,,1,A,"Free Library of Philadelphia, Special Collections","40,028",0.038,html,,
0023_lewis_e_m_044_009,0023,,1,A,"Free Library of Philadelphia, Special Collections","40,047",0.038,lewis_e_m_044_009,,
0023_lewis_e_m_032_022,0023,,1,A,"Free Library of Philadelphia, Special Collections","40,138",0.038,lewis_e_m_032_022,,
0023_lewis_e_m_009_003,0023,,1,A,"Free Library of Philadelphia, Special Collections","40,221",0.038,lewis_e_m_009_003,,
0023_lewis_e_m_016_022,0023,,1,A,"Free Library of Philadelphia, Special Collections","40,431",0.039,lewis_e_m_016_022,,
0023_lewis_e_m_013_010,0023,,1,A,"Free Library of Philadelphia, Special Collections","40,495",0.039,lewis_e_m_013_010,,
0023_lewis_e_m_025_003,0023,,1,A,"Free Library of Philadelphia, Special Collections","40,565",0.039,lewis_e_m_025_003,,
0023_lewis_e_m_020_019,0023,,1,A,"Free Library of Philadelphia, Special Collections","40,613",0.039,lewis_e_m_020_019,,
0023_lewis_t156,0023,,1,A,"Free Library of Philadelphia, Special Collections","40,778",0.039,lewis_t156,,
