size,folder
109652,lewis_e_m_032_015
56363,lewis_e_m_032_016
78263,lewis_e_m_032_017
110137,lewis_e_m_032_018
72679,lewis_e_m_032_019
59184,lewis_e_m_032_020
75183,lewis_e_m_032_021
40138,lewis_e_m_032_022
43685,lewis_e_m_032_023
42798,lewis_e_m_032_024
46463,lewis_e_m_032_025
38711,lewis_e_m_032_026
45193,lewis_e_m_032_027
34133,lewis_e_m_032_028
39032,lewis_e_m_032_029
45303,lewis_e_m_032_030
81591,lewis_e_m_033_001
43648,lewis_e_m_033_002
170044,lewis_e_m_033_003
11479,lewis_e_m_033_004
11662,lewis_e_m_033_005
60111,lewis_e_m_033_006
43675,lewis_e_m_033_007
46673,lewis_e_m_033_008
36747,lewis_e_m_033_009
41527,lewis_e_m_033_010
17859,lewis_e_m_033_011
36126,lewis_e_m_033_012
41719,lewis_e_m_033_013
37652,lewis_e_m_033_014
81051,lewis_e_m_033_015
25102,lewis_e_m_033_016
55189,lewis_e_m_033_017
46089,lewis_e_m_033_018
31345,lewis_e_m_033_019
33995,lewis_e_m_033_020
66098,lewis_e_m_033_021
43931,lewis_e_m_033_022
44342,lewis_e_m_033_023
112331,lewis_e_m_033_024
73273,lewis_e_m_033_025
45421,lewis_e_m_033_026
82477,lewis_e_m_033_027
295407,lewis_e_m_042_001
66515,lewis_e_m_042_002
228261,lewis_e_m_042_003
1358802,lewis_e_m_042_004-009
238535,lewis_e_m_042_010
74022,lewis_e_m_042_010a
115636,lewis_e_m_042_011
92157,lewis_e_m_042_011a
693909,lewis_e_m_042_012-013
147375,lewis_e_m_042_014
291012,lewis_e_m_042_015
606506,lewis_e_m_042_016-016a
289924,lewis_e_m_042_016b
349210,lewis_e_m_042_017
598454,lewis_e_m_042_018-019
43191,lewis_e_m_042_019a
70366,lewis_e_m_042_020
175072,lewis_e_m_042_020a
101307,lewis_e_m_042_021
344676,lewis_e_m_042_022
156245,lewis_e_m_042_023
177683,lewis_e_m_042_024-025
336824,lewis_e_m_042_026
120773,lewis_e_m_042_027a-b
360526,lewis_e_m_042_028a
223460,lewis_e_m_042_028a-d
123692,lewis_e_m_042_029
41153,lewis_e_m_043_001a
57780,lewis_e_m_043_001b
117571,lewis_e_m_043_001c-e
39910,lewis_e_m_043_001f
24032,lewis_e_m_043_001g
